MAX6675-k, 2023-07-28 15:30:23, 28.5°C
MAX6675-k, 2023-07-28 15:30:24, 28.25°C
MAX6675-k, 2023-07-28 15:30:25, 27.75°C
MAX6675-k, 2023-07-28 15:30:26, 28.25°C
MAX6675-k, 2023-07-28 15:30:27, 28.0°C
MAX6675-k, 2023-07-28 15:30:28, 28.25°C
MAX6675-k, 2023-07-28 15:30:29, 28.25°C
MAX6675-k, 2023-07-28 15:30:30, 28.25°C
MAX6675-k, 2023-07-28 15:30:31, 28.25°C
MAX6675-k, 2023-07-28 15:30:32, 28.25°C
MAX6675-k, 2023-07-28 15:30:33, 28.25°C
MAX6675-k, 2023-07-28 15:30:34, 27.75°C
MAX6675-k, 2023-07-28 15:30:35, 28.25°C
MAX6675-k, 2023-07-28 15:30:36, 28.25°C
MAX6675-k, 2023-07-28 15:30:37, 28.25°C
MAX6675-k, 2023-07-28 15:30:38, 27.75°C
MAX6675-k, 2023-07-28 15:30:39, 28.0°C
MAX6675-k, 2023-07-28 15:30:40, 28.25°C
MAX6675-k, 2023-07-28 15:30:42, 28.25°C
MAX6675-k, 2023-07-28 15:30:43, 28.25°C
MAX6675-k, 2023-07-28 15:30:44, 28.25°C
MAX6675-k, 2023-07-28 15:30:45, 28.5°C
MAX6675-k, 2023-07-28 15:30:46, 28.25°C
MAX6675-k, 2023-07-28 15:30:47, 27.75°C
MAX6675-k, 2023-07-28 15:30:48, 27.5°C
